	A549Swt0h1_h0	A549Swt0h2_h0	A549S3wt3hHGF1_h3	A549S3wt3hHGF2_h3	A549S6wt6hHGF1_h6	A549S6wt6hHGF2_h6	A549S12wt12hHGF1_h12	A549S12wt12hHGF2_h12
ZNF839:ENSG00000022976	239	272	226	193	239	234	287	214
ZDHHC6:ENSG00000023041	708	731	686	622	823	736	1018	742
GRAMD1B:ENSG00000023171	615	442	599	516	448	435	387	282
RNH1:ENSG00000023191	2139	2358	2631	1909	2655	2377	2856	2107
NDUFS1:ENSG00000023228	2004	1800	2276	1877	2685	2423	3399	2591
RB1CC1:ENSG00000023287	2706	2646	3039	2753	4027	3808	5673	4072
ERP44:ENSG00000023318	1092	1095	1081	939	1331	1136	1659	1282
ALAS1:ENSG00000023330	539	487	624	433	563	529	862	621
BIRC3:ENSG00000023445	782	953	1258	1062	1780	1351	1522	1025
AKAP11:ENSG00000023516	1016	817	1014	892	1105	917	1546	1042
GLRX2:ENSG00000023572	208	239	205	195	294	264	453	312
SNAPC1:ENSG00000023608	3204	5092	3685	3424	3793	3226	5896	3494
DERA:ENSG00000023697	341	355	300	246	285	251	387	284
STRAP:ENSG00000023734	3210	3459	4069	3425	4910	4210	5990	4397
ABCC2:ENSG00000023839	7065	6080	5746	4449	4442	3752	6617	4666
DEF6:ENSG00000023892	4	3	5	3	4	5	3	5
PLEKHO1:ENSG00000023902	34	30	44	23	57	58	68	56
GCLM:ENSG00000023909	744	784	766	731	715	671	945	625
UBR2:ENSG00000024048	961	814	1071	881	1360	1186	1821	1240
EHD2:ENSG00000024422	2243	2041	2176	1628	2201	2037	2831	2116
DEPDC1:ENSG00000024526	314	324	279	272	331	240	236	175
CCDC28A:ENSG00000024862	302	383	304	252	337	266	507	329
RRAGD:ENSG00000025039	104	111	144	109	185	149	419	239
HSF2:ENSG00000025156	267	290	349	247	325	278	542	385
PHF20:ENSG00000025293	732	805	891	801	875	778	1185	906
HSD17B6:ENSG00000025423	2	0	0	1	0	1	0	2
NR1H3:ENSG00000025434	37	23	35	26	27	37	39	37
TYMP:ENSG00000025708	153	123	148	119	155	155	211	155
NCAPH2:ENSG00000025770	408	471	576	459	698	514	797	461
TOMM34:ENSG00000025772	376	451	552	410	762	672	1218	809
SEC63:ENSG00000025796	842	742	782	670	851	791	1195	851
KPNA6:ENSG00000025800	1280	1403	1314	1054	1400	1206	1813	1296
VIM:ENSG00000026025	16520	18297	18949	15660	23115	22192	31366	22870
RTEL1-TNFRSF6B:ENSG00000026036	48	53	56	34	48	56	55	38
FAS:ENSG00000026103	1108	1468	1218	1036	1246	1178	2345	1556
RNASET2:ENSG00000026297	40	56	44	30	53	38	40	23
CD44:ENSG00000026508	6949	8086	8003	6737	10841	10518	18244	12645
KCNG1:ENSG00000026559	171	161	211	187	270	279	409	291
AGPAT4:ENSG00000026652	113	133	187	134	197	226	345	253
SLAMF7:ENSG00000026751	47	73	72	77	104	82	166	109
BTN3A1:ENSG00000026950	57	26	25	19	26	16	33	22
MIPEP:ENSG00000027001	166	152	133	111	115	127	145	111
PRKCH:ENSG00000027075	23	33	24	13	26	19	34	15
INSRR:ENSG00000027644	0	0	0	0	0	1	0	0
IFNGR1:ENSG00000027697	523	511	514	426	578	534	803	614
B4GALT7:ENSG00000027847	255	260	295	209	271	242	276	192
SH2D2A:ENSG00000027869	11	10	7	4	12	7	12	9
VRK2:ENSG00000028116	587	555	753	631	806	729	868	693
TNFRSF1B:ENSG00000028137	7	4	8	3	6	5	2	3
VEZT:ENSG00000028203	1839	2053	2474	2107	2859	2708	3346	2403
POU2F2:ENSG00000028277	10	23	17	16	23	23	23	19
BRD9:ENSG00000028310	477	487	660	557	748	798	722	454
SNX1:ENSG00000028528	1428	1573	1576	1160	1490	1500	2024	1404
TBPL1:ENSG00000028839	246	294	398	360	451	408	486	383
ARNTL2:ENSG00000029153	355	345	302	290	424	345	653	452
BCLAF1:ENSG00000029363	5719	6376	7776	6895	9020	8225	10814	7551
SLC39A9:ENSG00000029364	1530	1686	2218	1817	2524	2123	2748	1879
ANK1:ENSG00000029534	170	175	185	152	161	123	191	104
IBSP:ENSG00000029559	1	0	0	1	0	0	0	0
TFB1M:ENSG00000029639	72	83	65	43	71	42	58	38
RABEP1:ENSG00000029725	724	814	1033	909	1292	1187	1583	1158
HMGB3:ENSG00000029993	948	973	888	762	887	756	1258	910
NUP160:ENSG00000030066	3464	3491	5526	4595	7307	6406	9023	5914
BAK1:ENSG00000030110	619	701	732	545	787	683	1005	791
MUSK:ENSG00000030304	1	0	0	0	0	0	0	0
IKZF2:ENSG00000030419	0	1	5	0	4	3	8	2
GRN:ENSG00000030582	1512	1547	1455	989	1280	1117	1510	939
FAM13B:ENSG00000031003	489	425	584	535	607	582	806	524
ARHGAP31:ENSG00000031081	13	12	11	11	23	17	24	25
CENPQ:ENSG00000031691	55	61	62	57	63	53	75	56
SARS1:ENSG00000031698	6018	6360	6129	5101	6797	6036	9120	6601
RANBP3:ENSG00000031823	461	514	530	368	539	505	665	515
ARID4A:ENSG00000032219	688	599	666	623	759	727	1021	850
EIPR1:ENSG00000032389	269	262	303	215	286	265	342	253
PNPLA6:ENSG00000032444	391	353	358	272	345	315	369	226
IFT88:ENSG00000032742	151	117	175	171	235	243	255	180
ALG1:ENSG00000033011	397	369	291	209	267	223	326	249
ZCCHC8:ENSG00000033030	1310	1361	1813	1489	2236	2027	2960	2077
ABCF2:ENSG00000033050	1303	1288	1342	1027	1181	1071	1835	1281
CHPF2:ENSG00000033100	823	898	935	710	959	948	1359	981
LRRC7:ENSG00000033122	0	0	0	0	0	0	0	0
FUT8:ENSG00000033170	135	99	87	82	114	81	115	95
UBA6:ENSG00000033178	660	640	1035	922	1129	972	1121	823
GAB2:ENSG00000033327	366	299	225	181	143	167	398	236
ATP6V0A1:ENSG00000033627	1977	2216	2410	1806	3416	3165	4228	2782
PIAS1:ENSG00000033800	844	735	1025	857	1185	1148	1480	1055
SLC4A7:ENSG00000033867	1157	1051	1900	1745	2231	2122	1956	1479
APBA2:ENSG00000034053	202	159	149	137	173	122	241	154
MAP2K3:ENSG00000034152	3876	4969	9462	7165	10998	9675	8250	5462
EFCAB1:ENSG00000034239	0	0	0	0	0	0	0	0
TMSB10:ENSG00000034510	6193	7137	6573	5658	7507	6575	9339	7538
ASTE1:ENSG00000034533	110	110	130	90	171	129	181	114
RNF19A:ENSG00000034677	803	605	1106	960	2010	1806	1886	1347
PEX3:ENSG00000034693	181	141	159	138	189	196	285	213
GABARAPL2:ENSG00000034713	1296	1409	1338	1175	1628	1426	2208	1529
MYOC:ENSG00000034971	0	0	0	0	0	0	0	0
SH3YL1:ENSG00000035115	130	136	85	81	110	102	177	120
FAM136A:ENSG00000035141	1093	1031	875	777	963	843	1385	1012
VCL:ENSG00000035403	5503	5346	6788	5512	7487	6730	8968	6172
DEPDC1B:ENSG00000035499	123	129	102	86	92	82	85	52
DAPK2:ENSG00000035664	30	21	27	26	38	31	45	29
NSMAF:ENSG00000035681	758	716	802	698	969	823	1277	957
ADSS2:ENSG00000035687	1033	937	827	756	888	825	1335	956
STAP1:ENSG00000035720	0	0	0	0	0	0	0	0
TIMP2:ENSG00000035862	3073	2538	3142	2688	3710	4062	3889	2818
RFC1:ENSG00000035928	486	435	524	437	629	579	860	610
TBC1D23:ENSG00000036054	961	1068	1360	1217	1632	1411	2176	1482
CUL3:ENSG00000036257	2272	2700	3255	2974	3913	3345	4443	3015
MYOM2:ENSG00000036448	27	20	19	12	16	12	20	8
OTC:ENSG00000036473	0	0	0	0	0	0	0	0
CYP46A1:ENSG00000036530	1	1	1	1	2	4	5	2
AC118549.1:ENSG00000036549	771	680	894	769	1052	903	1263	894
SLC18A1:ENSG00000036565	0	0	0	0	0	0	0	0
USP2:ENSG00000036672	53	50	75	68	138	157	146	92
CASR:ENSG00000036828	0	0	0	0	0	0	0	0
TUBG2:ENSG00000037042	218	213	176	112	182	149	258	163
RPL26L1:ENSG00000037241	364	443	378	326	404	389	493	362
FLT4:ENSG00000037280	15	18	16	8	15	11	21	19
NSUN2:ENSG00000037474	2113	2376	3564	2993	3975	3475	4464	2883
FBXO42:ENSG00000037637	605	685	545	395	609	538	1011	624
MFAP3:ENSG00000037749	984	919	1161	1001	1444	1248	1947	1254
MRI1:ENSG00000037757	133	115	111	90	135	90	158	96
METTL1:ENSG00000037897	305	319	440	397	488	434	467	304
HOXC8:ENSG00000037965	52	50	39	39	45	56	111	75
AGA:ENSG00000038002	246	212	189	148	162	207	202	175
PI4K2B:ENSG00000038210	148	129	147	121	146	146	191	123
BOD1L1:ENSG00000038219	2795	2571	3796	3371	4729	4446	6369	4185
MAT2B:ENSG00000038274	1007	1130	963	838	1074	899	1476	1109
TLL1:ENSG00000038295	0	2	3	3	0	3	3	2
EDC4:ENSG00000038358	1213	1376	1653	1201	1963	1720	2426	1676
TRIO:ENSG00000038382	7746	8911	8849	7232	11311	10646	15610	9715
VCAN:ENSG00000038427	1614	1885	1749	1476	2011	2047	3115	2182
CLEC16A:ENSG00000038532	304	291	319	251	381	355	450	312
MSR1:ENSG00000038945	0	2	0	0	0	0	0	0
CDH1:ENSG00000039068	174	84	70	65	42	43	57	43
MTREX:ENSG00000039123	1515	1613	1739	1595	2202	1786	2402	1762
DNAH5:ENSG00000039139	127	109	136	113	142	162	104	76
ZFYVE16:ENSG00000039319	760	626	1207	1135	1610	1486	1724	1243
RIPOR1:ENSG00000039523	330	264	348	192	283	271	394	263
C6:ENSG00000039537	1	0	0	0	0	0	0	0
RAI14:ENSG00000039560	1416	1278	1321	1236	1981	1967	2383	1848
SOX30:ENSG00000039600	2	5	5	3	5	9	7	9
PNKP:ENSG00000039650	402	494	539	425	580	522	735	405
BEST2:ENSG00000039987	0	1	0	1	2	1	2	0
PHLPP2:ENSG00000040199	854	818	970	686	1075	999	1825	1214
SPDL1:ENSG00000040275	656	664	916	874	1556	1711	1197	800
STAU2:ENSG00000040341	201	194	169	164	209	150	217	161
SLC66A1:ENSG00000040487	251	311	338	233	460	386	664	427
CTNS:ENSG00000040531	174	196	142	123	170	142	182	138
RTN4R:ENSG00000040608	48	42	28	33	30	25	55	40
PHF23:ENSG00000040633	823	1037	750	537	776	662	1264	881
CDH10:ENSG00000040731	3	4	3	2	1	1	4	2
INPP4A:ENSG00000040933	291	242	276	184	208	210	318	209
RAB27B:ENSG00000041353	970	617	570	475	508	478	858	737
PSMA4:ENSG00000041357	2209	2718	2129	2064	2631	2281	3231	2497
MYO16:ENSG00000041515	1	9	6	0	3	4	3	3
LSG1:ENSG00000041802	2082	2493	3188	2608	3576	3160	4656	3042
PARP3:ENSG00000041880	173	125	134	111	126	140	166	136
TNC:ENSG00000041982	758	676	1226	965	2079	2055	4450	3425
THAP3:ENSG00000041988	154	145	178	125	190	166	282	225
RIPOR3:ENSG00000042062	1	1	2	2	1	1	4	0
TDP1:ENSG00000042088	100	132	121	98	105	107	230	131
AIFM2:ENSG00000042286	771	707	912	734	809	670	946	695
C2orf83:ENSG00000042304	0	0	0	0	0	0	0	0
SPATA7:ENSG00000042317	99	120	50	42	59	43	94	61
MED17:ENSG00000042429	568	600	1008	966	1079	921	1316	836
RETSAT:ENSG00000042445	3271	3051	3036	2403	3124	2775	3883	3071
CAPG:ENSG00000042493	254	263	276	207	227	262	318	222
AP2S1:ENSG00000042753	682	745	708	528	706	631	776	585
USH2A:ENSG00000042781	0	0	0	0	0	1	0	0
ZPBP:ENSG00000042813	0	0	0	0	0	0	0	0
TG:ENSG00000042832	15	18	22	14	34	39	71	36
ADAM28:ENSG00000042980	3	0	0	0	1	3	3	1
BARX2:ENSG00000043039	0	0	2	0	1	1	0	0
DCUN1D1:ENSG00000043093	715	660	743	704	857	785	1181	878
JADE2:ENSG00000043143	882	726	475	361	406	359	744	556
ZIC2:ENSG00000043355	261	324	572	474	653	577	510	363
LCP2:ENSG00000043462	0	0	1	0	0	0	0	0
TRIT1:ENSG00000043514	451	471	454	370	536	459	779	634
ADRB1:ENSG00000043591	8	15	14	6	15	9	17	16
GUCA2B:ENSG00000044012	0	0	0	0	0	1	1	0
CUL7:ENSG00000044090	280	252	318	243	281	268	238	174
CTNNA1:ENSG00000044115	6388	6762	7174	6070	9078	8551	12190	8487
PHKA2:ENSG00000044446	305	299	324	258	350	286	385	315
CNTLN:ENSG00000044459	161	143	192	182	216	172	208	162
EPHA3:ENSG00000044524	0	0	0	1	0	0	0	0
HSPA5:ENSG00000044574	14970	13549	16451	13561	19658	18279	26301	19854
DSG2:ENSG00000046604	2612	2427	2559	2132	3094	2806	4580	3288
GEMIN8:ENSG00000046647	129	132	148	89	122	122	186	122
OFD1:ENSG00000046651	451	455	708	580	778	732	853	666
GPM6B:ENSG00000046653	0	0	0	0	0	0	0	0
MAGEC2:ENSG00000046774	1	0	1	1	1	1	2	1
PREX2:ENSG00000046889	0	0	0	0	0	0	0	0
WDR37:ENSG00000047056	235	244	352	305	370	330	462	329
YTHDC2:ENSG00000047188	577	504	829	784	1274	1169	1385	1058
CTPS2:ENSG00000047230	254	200	200	164	191	136	214	146
ATP6V1H:ENSG00000047249	753	919	775	654	928	863	1542	1046
POLR2B:ENSG00000047315	2415	2627	2631	2311	3044	2729	4523	2963
FAM214A:ENSG00000047346	819	881	728	588	1016	971	1522	1126
ARAP2:ENSG00000047365	28	29	67	55	241	223	248	168
TPR:ENSG00000047410	3868	3657	4594	4164	5425	4929	6948	4800
CP:ENSG00000047457	152	105	99	83	72	85	63	57
KIAA0556:ENSG00000047578	713	702	1040	737	1201	1090	1173	848
DTNBP1:ENSG00000047579	23	34	27	33	36	26	40	37
XK:ENSG00000047597	14	12	15	12	8	17	20	10
ANO2:ENSG00000047617	5	24	10	3	10	8	17	11
C12orf4:ENSG00000047621	223	236	371	340	499	445	546	373
SCML1:ENSG00000047634	190	223	202	186	278	242	325	244
WWC3:ENSG00000047644	1592	1198	1470	1197	1766	1785	1840	1380
ARHGAP6:ENSG00000047648	0	0	1	0	1	0	1	0
FAM184B:ENSG00000047662	0	0	0	0	1	0	0	0
MAP4:ENSG00000047849	5235	4930	5096	4046	4549	4132	5906	4184
GOPC:ENSG00000047932	1165	1096	1148	1033	1519	1431	2260	1606
ROS1:ENSG00000047936	2	5	6	2	1	6	13	6
USP28:ENSG00000048028	348	302	304	262	337	315	431	333
HDAC9:ENSG00000048052	3	13	35	26	73	61	89	52
TSPAN17:ENSG00000048140	585	587	573	404	567	473	735	594
NOP16:ENSG00000048162	730	839	747	605	706	666	1325	860
CC2D2A:ENSG00000048342	243	237	242	206	251	254	340	275
RRM2B:ENSG00000048392	4556	5314	5397	4878	5939	5392	8066	5380
ZNF800:ENSG00000048405	618	544	776	762	1000	905	1207	859
TNFRSF17:ENSG00000048462	0	0	0	0	0	0	0	0
SNX29:ENSG00000048471	91	95	134	103	96	84	119	85
LMO3:ENSG00000048540	0	0	0	0	0	0	0	0
MRPS10:ENSG00000048544	1356	1499	1424	1247	1710	1494	2322	1724
GUCA1A:ENSG00000048545	0	0	0	0	0	0	0	0
RSF1:ENSG00000048649	2052	2010	2219	1963	2839	2559	4301	3034
VPS13D:ENSG00000048707	1137	877	1292	1105	1477	1389	1888	1270
CELF2:ENSG00000048740	24	41	42	42	50	53	89	42
FAM120A:ENSG00000048828	3978	3474	3891	3336	4139	3837	5083	3769
R3HDM1:ENSG00000048991	381	284	392	336	486	437	569	372
COL9A2:ENSG00000049089	0	1	0	2	0	3	1	0
KITLG:ENSG00000049130	424	415	474	410	443	358	618	397
ERCC8:ENSG00000049167	128	110	130	119	143	137	191	150
ADAMTS6:ENSG00000049192	4	12	13	13	21	13	25	14
H6PD:ENSG00000049239	644	490	550	397	517	428	673	496
VAMP3:ENSG00000049245	765	799	841	738	1039	839	1268	961
PER3:ENSG00000049246	269	266	450	372	529	419	748	473
UTS2:ENSG00000049247	0	0	0	1	0	0	0	0
TNFRSF9:ENSG00000049249	62	104	92	85	130	150	167	135
EPN3:ENSG00000049283	4	3	2	3	0	1	2	3
LTBP1:ENSG00000049323	481	332	446	321	655	637	1057	812
RCN1:ENSG00000049449	4723	4901	4360	3654	5074	4533	6634	4806
ELN:ENSG00000049540	0	1	1	0	1	0	0	1
RFC2:ENSG00000049541	180	160	197	142	182	171	221	151
ARID1B:ENSG00000049618	1187	1134	1286	1038	1454	1365	1959	1350
CLPTM1L:ENSG00000049656	2064	2157	2605	1977	3103	2923	3613	2243
NEDD4L:ENSG00000049759	2376	3039	3840	3041	4760	4387	5633	3675
FOXP3:ENSG00000049768	1	2	2	2	3	6	3	3
PPP1R3F:ENSG00000049769	103	96	174	121	217	191	303	180
HEXB:ENSG00000049860	1727	1998	2333	1949	3180	2665	4617	3111
PTCD2:ENSG00000049883	329	280	236	198	293	286	426	309
NEXMIF:ENSG00000050030	5	2	11	3	10	7	32	13
JKAMP:ENSG00000050130	1132	1140	974	823	944	855	1398	927
DKK3:ENSG00000050165	118	117	100	73	95	91	164	114
ARHGEF5:ENSG00000050327	14	10	14	7	9	2	8	1
NFE2L3:ENSG00000050344	27	13	10	13	20	23	14	15
MCUR1:ENSG00000050393	361	319	372	284	424	413	576	400
LIMA1:ENSG00000050405	1157	1694	2188	1953	2671	2331	2633	1800
LETMD1:ENSG00000050426	311	282	229	196	269	267	319	217
SLC4A8:ENSG00000050438	19	9	25	13	20	12	20	15
LAMC3:ENSG00000050555	14	9	24	13	16	12	17	11
PTGER3:ENSG00000050628	0	0	0	0	0	2	0	1
TNIP3:ENSG00000050730	1	0	2	0	2	0	0	0
MAPK9:ENSG00000050748	740	718	646	564	668	672	850	551
COL23A1:ENSG00000050767	0	0	0	0	0	0	0	0
BCAR1:ENSG00000050820	1091	1197	1525	1146	1477	1304	1696	1147
FAM160A2:ENSG00000051009	608	602	748	535	747	674	918	653
HERPUD1:ENSG00000051108	2018	2132	2001	1677	2222	2227	3848	2763
HOMER3:ENSG00000051128	293	357	378	320	463	475	536	374
RAD51:ENSG00000051180	12	7	8	2	6	8	1	3
POLQ:ENSG00000051341	71	59	63	57	47	45	45	22
PIK3CB:ENSG00000051382	572	570	488	466	539	515	789	524
CYBA:ENSG00000051523	989	1059	1024	755	965	865	1074	778
THOC3:ENSG00000051596	310	330	274	216	319	269	414	241
HEBP2:ENSG00000051620	669	625	717	575	851	747	1317	877
MPHOSPH9:ENSG00000051825	253	225	242	210	245	197	301	234
PLEKHA5:ENSG00000052126	321	309	343	296	359	361	641	495
PRSS8:ENSG00000052344	1	0	0	0	2	0	0	1
SIKE1:ENSG00000052723	360	267	481	385	445	415	528	351
RRP12:ENSG00000052749	3868	4397	6299	4900	6357	5505	6339	4535
FNIP2:ENSG00000052795	272	255	349	309	524	456	792	528
MSMO1:ENSG00000052802	359	345	263	257	281	276	498	375
TTC17:ENSG00000052841	1438	1339	1712	1498	2034	1752	2353	1692
ALX4:ENSG00000052850	70	41	34	29	19	15	31	11
FSTL4:ENSG00000053108	20	23	40	35	40	39	45	27
FOXN3:ENSG00000053254	204	176	154	151	151	172	258	209
METTL24:ENSG00000053328	0	0	0	0	0	0	0	0
AKR7A2:ENSG00000053371	130	155	127	90	122	121	116	112
MRTO4:ENSG00000053372	1238	1589	1408	1282	1506	1392	1967	1422
NNAT:ENSG00000053438	0	0	0	0	0	0	0	0
USE1:ENSG00000053501	67	65	98	73	90	84	95	53
MCF2L2:ENSG00000053524	1	1	1	2	1	2	3	2
NRIP2:ENSG00000053702	0	0	0	0	0	0	0	0
LAMA3:ENSG00000053747	794	695	818	647	770	715	815	572
AP5M1:ENSG00000053770	611	591	782	630	955	910	1161	783
ANAPC4:ENSG00000053900	157	165	158	155	129	126	183	114
KCNQ1:ENSG00000053918	3	2	1	1	2	2	4	0
TRAPPC3:ENSG00000054116	465	518	428	362	513	437	723	494
THRAP3:ENSG00000054118	3362	3772	3886	3343	4081	3704	5763	4136
PHPT1:ENSG00000054148	1071	1321	1272	890	1205	1097	1563	1067
ENTPD2:ENSG00000054179	1	2	1	1	1	1	1	1
LY75:ENSG00000054219	0	4	1	0	0	1	0	2
ARID4B:ENSG00000054267	2216	2488	2997	2864	4122	3961	5186	3638
OPN3:ENSG00000054277	711	771	691	538	697	596	1087	721
SDCCAG8:ENSG00000054282	205	213	172	173	219	212	287	225
PTPRN:ENSG00000054356	14	17	16	23	23	26	39	28
HHAT:ENSG00000054392	74	84	74	58	75	66	66	47
KIF1B:ENSG00000054523	1628	1569	1699	1491	2148	1914	3325	2214
FOXC1:ENSG00000054598	163	156	209	197	243	175	346	257
TBC1D22A:ENSG00000054611	239	240	304	228	340	348	404	290
SYNE2:ENSG00000054654	711	470	657	543	558	601	781	524
PLEKHH1:ENSG00000054690	112	82	175	112	130	157	119	73
ATP9A:ENSG00000054793	975	704	837	712	845	826	1111	830
SPO11:ENSG00000054796	0	0	0	0	0	0	0	0
CBLN4:ENSG00000054803	0	0	0	0	0	0	0	0
CHRDL2:ENSG00000054938	1	1	0	0	0	1	0	0
FAM168A:ENSG00000054965	698	612	508	408	493	406	584	389
RELT:ENSG00000054967	226	316	449	339	509	482	356	226
GALC:ENSG00000054983	356	283	300	251	326	306	306	253
NOP58:ENSG00000055044	2618	3036	3425	3058	3847	3384	4454	3412
SZRD1:ENSG00000055070	1626	1850	2292	1839	2329	2067	2975	2088
KCNH2:ENSG00000055118	7	7	10	4	3	8	7	8
CUL1:ENSG00000055130	1637	1807	1911	1655	2488	2314	3387	2469
FAM114A2:ENSG00000055147	272	220	254	209	294	279	374	303
CYFIP2:ENSG00000055163	2119	2100	2413	1884	2293	2096	3113	1971
TAB2:ENSG00000055208	1149	1304	1268	1063	1525	1431	1813	1322
GINM1:ENSG00000055211	514	460	492	386	586	496	819	615
EIF2AK2:ENSG00000055332	1448	1163	1106	972	1112	1089	1848	1318
USP36:ENSG00000055483	3756	4037	8474	6842	7762	7119	7593	5171
KMT2C:ENSG00000055609	2837	2480	3695	3300	4753	4508	6415	4396
MCOLN3:ENSG00000055732	79	71	98	83	211	177	284	174
CCDC85A:ENSG00000055813	2	4	0	1	0	2	0	7
PUM2:ENSG00000055917	3657	3717	4881	4166	5812	4957	7741	5489
MRPL43:ENSG00000055950	521	548	504	407	564	478	723	472
ITIH4:ENSG00000055955	8	5	7	5	3	3	9	4
ITIH1:ENSG00000055957	1	0	0	0	0	0	0	0
HPF1:ENSG00000056050	137	105	93	83	110	98	126	102
ZFR:ENSG00000056097	3903	3828	4679	3935	5251	4838	7267	5206
ZNF280C:ENSG00000056277	235	225	426	404	390	351	481	284
NPFFR2:ENSG00000056291	4	5	2	5	8	11	19	9
PHF21B:ENSG00000056487	86	65	92	64	103	100	160	104
TRAF1:ENSG00000056558	87	107	126	96	184	131	146	83
RC3H2:ENSG00000056586	2342	2239	2974	2584	3907	3479	5112	3651
IL17RB:ENSG00000056736	3	3	3	3	0	1	1	1
TRAF3IP2:ENSG00000056972	224	210	179	148	219	226	321	227
GYG2:ENSG00000056998	32	25	17	20	17	9	8	12
DCBLD2:ENSG00000057019	18205	18613	17127	14058	21669	19217	33910	25194
SERPINB3:ENSG00000057149	0	0	0	0	0	0	0	0
SOAT1:ENSG00000057252	480	407	417	358	487	444	579	439
PKP2:ENSG00000057294	415	419	405	372	398	309	665	408
MSH4:ENSG00000057468	0	0	0	0	0	0	1	1
F7:ENSG00000057593	2	0	0	2	4	2	0	0
GDI2:ENSG00000057608	3958	4029	4241	3576	4704	4240	5750	4376
PRDM1:ENSG00000057657	140	206	165	140	184	181	199	159
ATG5:ENSG00000057663	522	545	650	521	711	581	855	612
TMCC3:ENSG00000057704	42	67	37	41	65	41	180	111
PITHD1:ENSG00000057757	657	893	1049	897	1258	1062	1497	1063
MTA3:ENSG00000057935	403	357	292	253	318	274	431	329
USP13:ENSG00000058056	187	158	153	144	129	127	198	157
ATP11B:ENSG00000058063	642	620	686	584	944	942	1406	996
LAMC2:ENSG00000058085	1628	2179	3911	3544	7764	8707	10113	6617
CDK14:ENSG00000058091	1	2	0	2	0	7	8	3
SEC61A1:ENSG00000058262	4464	4438	4367	3401	4060	3741	4133	3060
PPP1R12A:ENSG00000058272	1804	1762	2244	2109	2779	2392	3379	2444
RASGRF1:ENSG00000058335	10	14	7	3	6	6	10	5
CAMK2B:ENSG00000058404	1	1	1	1	2	0	3	1
CROCC:ENSG00000058453	107	119	109	89	101	111	111	92
POLR3E:ENSG00000058600	527	468	483	384	490	481	636	462
ATP2B4:ENSG00000058668	550	413	531	448	550	578	901	665
ZC3H11A:ENSG00000058673	5477	6497	7178	6052	9058	8341	12217	7999
RIOK2:ENSG00000058729	835	1033	811	737	963	861	1675	1181
YIPF1:ENSG00000058799	75	98	130	95	112	122	148	117
NDC1:ENSG00000058804	379	313	311	276	330	250	399	256
DGKG:ENSG00000058866	108	69	84	78	50	51	88	63
FLYWCH1:ENSG00000059122	447	421	372	283	360	330	608	389
UNKL:ENSG00000059145	333	391	300	200	222	193	292	194
TBXAS1:ENSG00000059377	16	13	9	8	7	7	7	7
PARP12:ENSG00000059378	184	128	137	99	114	99	231	144
ALDH18A1:ENSG00000059573	1465	1490	1525	1185	1458	1392	2209	1573
TARBP1:ENSG00000059588	241	190	133	130	153	131	264	185
GATB:ENSG00000059691	157	175	133	113	123	122	159	111
MXD1:ENSG00000059728	1593	1871	3140	2677	3342	2972	5098	3557
CDK17:ENSG00000059758	985	1065	1343	1194	1882	1768	2410	1777
DNAJC25:ENSG00000059769	210	265	255	243	267	294	358	268
SLC2A3:ENSG00000059804	210	199	171	116	184	175	328	220
PSD:ENSG00000059915	10	2	6	1	6	9	12	3
CTDP1:ENSG00000060069	457	506	596	510	671	587	794	572
YBX3:ENSG00000060138	4051	5156	4114	3552	4419	3816	6600	4700
STYK1:ENSG00000060140	2	1	1	1	3	3	7	4
WNK1:ENSG00000060237	3659	2842	3773	3057	4128	3853	5197	3687
RPS17P5:ENSG00000060303	0	1	0	0	1	0	1	0
CCAR1:ENSG00000060339	3098	3087	3261	2866	3872	3586	4994	3680
OGFR:ENSG00000060491	387	383	345	300	367	316	552	389
GNA15:ENSG00000060558	3	7	4	7	7	9	8	2
CREB3L3:ENSG00000060566	0	0	0	0	0	0	0	0
PIGV:ENSG00000060642	177	168	146	105	131	136	163	148
PTPRU:ENSG00000060656	403	345	404	315	355	333	404	305
SNRNP40:ENSG00000060688	795	844	929	812	1087	925	1608	1108
RIMBP2:ENSG00000060709	0	1	1	1	0	0	0	0
COL11A1:ENSG00000060718	0	2	1	0	0	1	1	1
QSER1:ENSG00000060749	1486	1379	1493	1310	1836	1726	2912	1995
MPC1:ENSG00000060762	120	126	125	112	119	138	174	144
ACAA1:ENSG00000060971	154	161	126	113	145	120	217	140
BCAT1:ENSG00000060982	383	265	274	235	253	240	460	308
HDAC7:ENSG00000061273	791	775	806	644	761	660	907	551
LZTS1:ENSG00000061337	1	1	2	0	1	3	2	0
PRDM6:ENSG00000061455	3	3	3	5	3	4	11	1
WNT8A:ENSG00000061492	0	0	0	0	0	0	0	0
SPAG4:ENSG00000061656	33	16	14	11	12	11	16	15
NCKAP1:ENSG00000061676	4305	3957	4743	3915	5842	5409	8049	5836
MRPS35:ENSG00000061794	1094	1071	1034	887	1186	994	1655	1239
GUCY1B1:ENSG00000061918	1	0	0	0	0	0	0	0
SFSWAP:ENSG00000061936	1008	1255	1531	1275	1723	1625	2047	1442
TNK2:ENSG00000061938	314	251	221	190	203	193	294	210
MON2:ENSG00000061987	1312	1195	2014	1701	2493	2292	2414	1637
CDH3:ENSG00000062038	4	6	8	3	13	7	18	8
ARSF:ENSG00000062096	0	0	0	0	0	0	0	0
GPBP1:ENSG00000062194	1376	1479	1531	1396	1897	1802	2259	1654
DGAT2:ENSG00000062282	27	25	23	15	19	12	32	17
